name	level	steamId	goal	assist	shot	save	team	tie
Dream	64	76561198121919374	0	2	0	1	blue	
Dyno Mike	92	76561198245338446	1	1	2	1	red	
Panarin	57	76561198155925824	1	1	2	0	blue	
kyler	67	76561198864796012	2	0	3	2	red	
rath	70	76561198052019308	2	0	4	1	blue	
Balucha	53	76561198050641157	0	1	0	0	red	
